Tipo de folha,Data de pagamento,Plano,Empregador,Perfil,Grupo de beneficio,Tipo de beneficio,Item folha,Valor
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2214-APOSENTADORIAESPECIAL,1-BENEFICIO,36819.25
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2214-APOSENTADORIAESPECIAL,951-BENEFICIOSALDADO,45.54
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,1-BENEFICIO,859059.41
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,1011-DEDUCAOPARACUSTEIODOABONO,-14116.42
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,2-BENEFICIO-DECISAOJUDICIAL,1858.36
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,41-EMPRESTIMO,-11706.22
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,573-IMPOSTODERENDA(3540),-108491.23
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,72-PENSAOALIMENTICIA,-3502.81
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2223-APOSENTADORIATEMPOSERVICOANTECIPADA,951-BENEFICIOSALDADO,113785.83
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2224-APOSENTADORIAESPECIALANTECIPADA,1-BENEFICIO,11739.64
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2224-APOSENTADORIAESPECIALANTECIPADA,1011-DEDUCAOPARACUSTEIODOABONO,-608.12
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2224-APOSENTADORIAESPECIALANTECIPADA,41-EMPRESTIMO,-1415.75
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAANTECIPADA,2224-APOSENTADORIAESPECIALANTECIPADA,573-IMPOSTODERENDA(3540),-2165.17
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,1-BENEFICIO,414813.93
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,1011-DEDUCAOPARACUSTEIODOABONO,-8134.32
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,41-EMPRESTIMO,-6482.43
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,573-IMPOSTODERENDA(3540),-64647.53
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,72-PENSAOALIMENTICIA,-2128.35
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2213-APOSENTADORIAPORTEMPOSERVICO,951-BENEFICIOSALDADO,9412.75
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIANORMAL,2230-DECISAOJUDICIAL,2-BENEFICIO-DECISAOJUDICIAL,12473.02
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAPORINVALIDEZ,2212-BENEFICIOPORINCAPACIDADEPERMANENTE,1-BENEFICIO,348325.83
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAPORINVALIDEZ,2212-BENEFICIOPORINCAPACIDADEPERMANENTE,1011-DEDUCAOPARACUSTEIODOABONO,-822.05
FOLHADERENDAVITALICIA,2024-09-30,22,TELEFONICA BRASIL SA,3,APOSENTADORIAPORINVALIDEZ,2212-BENEFICIOPORINCAPACIDADEPERMANENTE,12-BENEFICIOISENTA,93823.05
